,County,FIPS,Income,Uninsured %,White Poverty %,Black Poverty %,Asian Poverty %,Foreign Poverty %,Native Poverty %,Hispanic Poverty %,County FIPS,Non Hispanic Poverty %,Area,New Case Rate,Case Count,Population,Death Rate,Death Count
169,Refugio ,48391.0,50745,5.6,76.1,7.0,0.2,1.5,0.2,51.2,48391.0,48.8,Texas,403.8,212,35075,163.1,92
170,Gray ,48179.0,50635,5.0,80.1,5.1,1.4,9.6,1.9,30.0,48179.0,70.0,Texas,411.5,550,110315,149.9,209
171,Navarro ,48349.0,50466,5.1,69.4,11.2,2.2,13.2,0.2,28.8,48349.0,71.2,Texas,435.8,1355,247375,177.8,556
172,Knox ,48275.0,50163,3.6,77.0,6.1,1.7,8.9,no data/suppressed,35.2,48275.0,64.8,Texas,434.6,109,18395,216.6,60
173,Mitchell ,48335.0,50144,2.0,78.2,6.6,no data/suppressed,2.6,0.7,40.7,48335.0,59.3,Texas,455.7,214,41279,199.1,92
174,Lamb ,48279.0,50041,3.1,80.6,3.4,0.9,10.2,0.5,56.5,48279.0,43.5,Texas,390.6,312,65092,147.2,125
175,Kleberg ,48273.0,49986,5.4,68.6,3.1,1.6,6.1,0.4,73.5,48273.0,26.5,Texas,459,678,153623,186.8,279
176,Lynn ,48305.0,49747,3.3,76.3,1.0,0.5,3.9,0.2,46.4,48305.0,53.6,Texas,458.8,165,29430,207.4,79
177,Anderson ,48001.0,49736,4.0,67.7,20.8,0.9,6.0,0.4,18.3,48001.0,81.7,Texas,428.2,1443,289586,225.5,768
178,Cass ,48067.0,49626,8.8,77.5,17.3,0.7,2.6,0.2,5.0,48067.0,95.0,Texas,469.3,1046,150012,174.7,424
179,Deaf Smith ,48117.0,49611,3.6,76.5,0.8,0.9,16.3,0.7,74.4,48117.0,25.6,Texas,400.7,365,93087,148.9,138
180,Karnes ,48255.0,49526,3.3,75.1,5.7,0.6,9.9,0.5,56.3,48255.0,43.7,Texas,372,316,77736,153.7,133
